            atom_x             atom_y             atom_z           atom_Num  
     -4.3841646091       0.0000000000       0.0000000000       8.0000000000 
     -2.1920823046       0.0000000000       0.0000000000       6.0000000000 
      0.0000000000       0.0000000000       0.0000000000       8.0000000000 

          center_x           center_y           center_z                 amplitude                     decay
     -4.3841646091       0.0000000000       0.0000000000              1.0962816109             26.8301832632 
     -4.3841646091       0.0000000000       0.0000000000             25.9575877545             61.5427299576 
     -4.3841646091       0.0000000000       0.0000000000            -28.0503893025             59.0754067535 
     -4.3841646091       0.0000000000       0.0000000000              3.3005678086             42.6483157881 
     -4.3841646091       0.0000000000       0.0000000000             -0.6119354270             22.3127870201 
     -4.3841646091       0.0000000000       0.0000000000              0.3078878777              8.7959450276 
     -4.3841646091       0.0000000000       0.0000000000              3.8680895669              1.4561260895 
     -4.3841646091       0.0000000000       0.0000000000             -0.1003449256             17.5892334291 
     -4.3841646091       0.0000000000       0.0000000000              2.2322549225              0.4558509111 
     -2.1920823046       0.0000000000       0.0000000000              6.1999199841              0.8742083377
     -2.1920823046       0.0000000000       0.0000000000             -6.7906935670              0.7646054000
     -2.1920823046       0.0000000000       0.0000000000             -6.7831042584             19.9920553855
     -2.1920823046       0.0000000000       0.0000000000              0.6840859797              0.1952114566
     -2.1920823046       0.0000000000       0.0000000000             13.5873587188             19.9921372766
     -2.1920823046       0.0000000000       0.0000000000             -4.8975590348             20.0083494517
     -2.1920823046       0.0000000000       0.0000000000             -0.1103603539              6.9000024219
     -2.1920823046       0.0000000000       0.0000000000              0.0190286159              6.8761712083
     -2.1920823046       0.0000000000       0.0000000000              4.0913205060              0.5486591651
      0.0000000000       0.0000000000       0.0000000000              1.0962816109             26.8301832632 
      0.0000000000       0.0000000000       0.0000000000             25.9575877545             61.5427299576 
      0.0000000000       0.0000000000       0.0000000000            -28.0503893025             59.0754067535 
      0.0000000000       0.0000000000       0.0000000000              3.3005678086             42.6483157881 
      0.0000000000       0.0000000000       0.0000000000             -0.6119354270             22.3127870201 
      0.0000000000       0.0000000000       0.0000000000              0.3078878777              8.7959450276 
      0.0000000000       0.0000000000       0.0000000000              3.8680895669              1.4561260895 
      0.0000000000       0.0000000000       0.0000000000             -0.1003449256             17.5892334291 
      0.0000000000       0.0000000000       0.0000000000              2.2322549225              0.4558509111
