            atom_x             atom_y             atom_z           atom_Num  
     -2.0598014758       0.0000000000       0.0000000000       7.0000000000 
      0.0000000000       0.0000000000       0.0000000000       7.0000000000 

          center_x           center_y           center_z                 amplitude                     decay
     -2.0598014758       0.0000000000       0.0000000000            -11.5164022566             49.5665796245 
     -2.0598014758       0.0000000000       0.0000000000              7.5540093879             53.8727246917 
     -2.0598014758       0.0000000000       0.0000000000              0.2657237554              5.9371805423 
     -2.0598014758       0.0000000000       0.0000000000             -0.0782477704              0.2618010693 
     -2.0598014758       0.0000000000       0.0000000000              2.2326252169             28.3342845570 
     -2.0598014758       0.0000000000       0.0000000000              3.5422914487             51.4471743509 
     -2.0598014758       0.0000000000       0.0000000000              3.5729965015              1.0112936451
     -2.0598014758       0.0000000000       0.0000000000             -0.1020239838             11.2757943555
     -2.0598014758       0.0000000000       0.0000000000              1.5290274886              0.3210476630
      0.0000000000       0.0000000000       0.0000000000            -11.5164022566             49.5665796245 
      0.0000000000       0.0000000000       0.0000000000              7.5540093879             53.8727246917 
      0.0000000000       0.0000000000       0.0000000000              0.2657237554              5.9371805423 
      0.0000000000       0.0000000000       0.0000000000             -0.0782477704              0.2618010693 
      0.0000000000       0.0000000000       0.0000000000              2.2326252169             28.3342845570 
      0.0000000000       0.0000000000       0.0000000000              3.5422914487             51.4471743509 
      0.0000000000       0.0000000000       0.0000000000              3.5729965015              1.0112936451
      0.0000000000       0.0000000000       0.0000000000             -0.1020239838             11.2757943555
      0.0000000000       0.0000000000       0.0000000000              1.5290274886              0.3210476630

