            atom_X             atom_Y             atom_Z        effective Z 
       -0.00000000        -0.01858200         0.00000000         6.00000000 
       -1.51097095        -1.09786499         0.00000000         1.00000000 
        1.51097095        -1.09786499         0.00000000         1.00000000 

          center_X           center_Y           center_Z                 c1                 c2 
       -0.00000000        -0.01858200         0.00000000        -0.23544900         4.00000000
       -0.00000000        -0.01858200         0.00000000         1.27321672         2.00000000
       -0.00000000        -0.01858200         0.00000000        -0.73224860         1.00000000
       -0.00000000        -0.01858200         0.00000000        -1.01276946         0.50000000
       -0.00000000        -0.01858200         0.00000000         4.09675741         0.25000000
       -1.51097095        -1.09786499         0.00000000         0.04341571         4.00000000
       -1.51097095        -1.09786499         0.00000000        -0.09255592         2.00000000
       -1.51097095        -1.09786499         0.00000000         0.04861400         1.00000000
       -1.51097095        -1.09786499         0.00000000        -0.79892462         0.50000000
       -1.51097095        -1.09786499         0.00000000         1.62660933         0.25000000
        1.51097095        -1.09786499         0.00000000         0.04307410         4.00000000
        1.51097095        -1.09786499         0.00000000        -0.09242263         2.00000000
        1.51097095        -1.09786499         0.00000000         0.04895702         1.00000000
        1.51097095        -1.09786499         0.00000000        -0.79897052         0.50000000
        1.51097095        -1.09786499         0.00000000         1.62668443         0.25000000
       -0.00000000        -0.01858200         0.00000000        -0.23539135         4.00000000
       -0.00000000        -0.01858200         0.00000000         1.27329671         2.00000000
       -0.00000000        -0.01858200         0.00000000        -0.73224556         1.00000000
       -0.00000000        -0.01858200         0.00000000        -1.01275063         0.50000000
       -0.00000000        -0.01858200         0.00000000         4.09662294         0.25000000
       -0.37774274        -0.28840274         0.00000000        -0.13530956         4.00000000
       -0.37774274        -0.28840274         0.00000000        -0.15281792         2.00000000
       -0.37774274        -0.28840274         0.00000000         2.71631479         1.00000000
       -0.37774274        -0.28840274         0.00000000        15.11455154         0.50000000
       -0.37774274        -0.28840274         0.00000000       -24.59869385         0.25000000
       -0.75548548        -0.55822349         0.00000000         0.09039196         4.00000000
       -0.75548548        -0.55822349         0.00000000        -0.35735843         2.00000000
       -0.75548548        -0.55822349         0.00000000        -2.45323014         1.00000000
       -0.75548548        -0.55822349         0.00000000       -20.64462471         0.50000000
       -0.75548548        -0.55822349         0.00000000        34.67639160         0.25000000
       -1.13322818        -0.82804424         0.00000000        -0.03805233         4.00000000
       -1.13322818        -0.82804424         0.00000000         0.49555632         2.00000000
       -1.13322818        -0.82804424         0.00000000         1.74844873         1.00000000
       -1.13322818        -0.82804424         0.00000000        10.83517456         0.50000000
       -1.13322818        -0.82804424         0.00000000       -21.22262955         0.25000000
       -1.51097095        -1.09786499         0.00000000         0.04388579         4.00000000
       -1.51097095        -1.09786499         0.00000000        -0.09230296         2.00000000
       -1.51097095        -1.09786499         0.00000000         0.04853160         1.00000000
       -1.51097095        -1.09786499         0.00000000        -0.79892373         0.50000000
       -1.51097095        -1.09786499         0.00000000         1.62637722         0.25000000
        0.00000000        -0.01858200         0.00000000        -0.23544900         4.00000000
        0.00000000        -0.01858200         0.00000000         1.27346647         2.00000000
        0.00000000        -0.01858200         0.00000000        -0.73243976         1.00000000
        0.00000000        -0.01858200         0.00000000        -1.01124203         0.50000000
        0.00000000        -0.01858200         0.00000000         4.09703493         0.25000000
        0.37774274        -0.28840274         0.00000000        -0.13536261         4.00000000
        0.37774274        -0.28840274         0.00000000        -0.15251309         2.00000000
        0.37774274        -0.28840274         0.00000000         2.71726394         1.00000000
        0.37774274        -0.28840274         0.00000000        15.11448288         0.50000000
        0.37774274        -0.28840274         0.00000000       -24.60062027         0.25000000
        0.75548548        -0.55822349         0.00000000         0.09041312         4.00000000
        0.75548548        -0.55822349         0.00000000        -0.35752767         2.00000000
        0.75548548        -0.55822349         0.00000000        -2.45401073         1.00000000
        0.75548548        -0.55822349         0.00000000       -20.64420128         0.50000000
        0.75548548        -0.55822349         0.00000000        34.67930984         0.25000000
        1.13322818        -0.82804424         0.00000000        -0.03806364         4.00000000
        1.13322818        -0.82804424         0.00000000         0.49561936         2.00000000
        1.13322818        -0.82804424         0.00000000         1.74884999         1.00000000
        1.13322818        -0.82804424         0.00000000        10.83470535         0.50000000
        1.13322818        -0.82804424         0.00000000       -21.22449112         0.25000000
        1.51097095        -1.09786499         0.00000000         0.04392454         4.00000000
        1.51097095        -1.09786499         0.00000000        -0.09248811         2.00000000
        1.51097095        -1.09786499         0.00000000         0.04831291         1.00000000
        1.51097095        -1.09786499         0.00000000        -0.79899025         0.50000000
        1.51097095        -1.09786499         0.00000000         1.62665272         0.25000000
       -1.51097095        -1.09786499         0.00000000         0.04361936         4.00000000
       -1.51097095        -1.09786499         0.00000000        -0.09247254         2.00000000
       -1.51097095        -1.09786499         0.00000000         0.04851554         1.00000000
       -1.51097095        -1.09786499         0.00000000        -0.79927206         0.50000000
       -1.51097095        -1.09786499         0.00000000         1.62668276         0.25000000
       -0.75548548        -1.09786499         0.00000000         0.00144584         4.00000000
       -0.75548548        -1.09786499         0.00000000        -0.00329889         2.00000000
       -0.75548548        -1.09786499         0.00000000        -0.27555621         1.00000000
       -0.75548548        -1.09786499         0.00000000         0.44604105         0.50000000
       -0.75548548        -1.09786499         0.00000000         1.13570571         0.25000000
        0.00000000        -1.09786499         0.00000000        -0.01115686         4.00000000
        0.00000000        -1.09786499         0.00000000        -0.06222903         2.00000000
        0.00000000        -1.09786499         0.00000000         0.44612092         1.00000000
        0.00000000        -1.09786499         0.00000000        -0.36617294         0.50000000
        0.00000000        -1.09786499         0.00000000        -1.89295232         0.25000000
        0.75548548        -1.09786499         0.00000000         0.00144408         4.00000000
        0.75548548        -1.09786499         0.00000000        -0.00329414         2.00000000
        0.75548548        -1.09786499         0.00000000        -0.27561286         1.00000000
        0.75548548        -1.09786499         0.00000000         0.44599026         0.50000000
        0.75548548        -1.09786499         0.00000000         1.13578975         0.25000000
        1.51097095        -1.09786499         0.00000000         0.04392454         4.00000000
        1.51097095        -1.09786499         0.00000000        -0.09242854         2.00000000
        1.51097095        -1.09786499         0.00000000         0.04833901         1.00000000
        1.51097095        -1.09786499         0.00000000        -0.79895693         0.50000000
        1.51097095        -1.09786499         0.00000000         1.62668884         0.25000000
